% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Jun,265.200012207,28.0,116,80.0,0.0,True
TS,main,Aug,312.0,13.3999996185,1048,40.0,0.0,True
TS,main,Oct,282.0,28.6999988556,244,40.0,0.0,True
TS,main,Aug,292.899993896,20.5,234,60.0,0.0,True
TS,main,Sep,269.600006104,26.3999996185,302,70.0,0.0,True
TS,main,Sep,295.899993896,17.0,208,70.0,0.0,True
TS,main,Sep,301.5,16.1000003815,662,50.0,0.0,False
TS,main,Oct,286.200012207,17.0,111,90.0,0.0,True
TS,main,Aug,336.799987793,12.0999994278,682,40.0,0.0,False
TS,merge,Sep,307.0,37.0,1067,100.0,0.0,False
TS,merge,Sep,300.600006104,39.8999977112,601,90.0,0.0,False
TS,main,Sep,298.0,25.7999992371,906,50.0,0.0,False
TS,main,Oct,281.5,27.5,167,70.0,0.0,False
TS,main,Jun,267.5,26.0,380,60.0,0.0,True
TS,main,Sep,283.399993896,26.3999996185,201,110.0,0.0,True
TS,main,Sep,266.399993896,28.1999988556,168,90.0,0.0,True
TS,main,Aug,318.0,44.0,905,90.0,0.0,False
TS,main,Aug,304.100006104,12.0,562,50.0,0.0,True
TS,main,Sep,270.899993896,26.6999988556,256,70.0,0.0,True
TS,main,Aug,284.5,32.5,262,50.0,0.0,True
TS,main,Aug,290.200012207,21.0,157,70.0,0.0,True
TS,main,Jun,285.5,34.0,192,50.0,0.0,False
ET,main,Sep,287.0,26.5,521,40.0,0.0,True
TS,main,Sep,305.299987793,16.0,903,50.0,0.0,True
TS,main,Sep,275.399993896,25.1999988556,283,60.0,0.0,True
TS,main,Sep,318.600006104,18.3999996185,1911,80.0,0.0,False
TS,main,Oct,286.399993896,21.5,44,50.0,0.0,False
TS,main,Aug,293.0,38.5,437,90.0,0.0,False
TS,main,Sep,300.299987793,17.2999992371,632,70.0,0.0,False
TS,main,Oct,284.600006104,17.5,95,80.0,0.0,True
TS,main,Oct,284.899993896,25.1000003815,270,60.0,0.0,True
ET,main,Oct,266.700012207,20.1999988556,189,40.0,0.0,True
TS,main,Aug,275.899993896,27.8999996185,117,40.0,0.0,True
TS,main,Aug,282.899993896,28.1999988556,324,60.0,0.0,False
TS,main,Sep,276.200012207,25.1000003815,228,90.0,0.0,True
TS,main,Sep,293.899993896,22.1999988556,424,40.0,0.0,False
TS,main,Sep,269.0,22.3999996185,162,50.0,0.0,True
TS,main,Oct,289.399993896,23.5,356,70.0,0.0,False
TS,main,Jul,301.5,15.0999994278,562,50.0,0.0,False
TS,main,Aug,298.0,34.3999977112,1052,80.0,0.0,False
TS,main,Oct,314.0,20.0,1802,60.0,0.0,False
TS,main,Nov,277.899993896,25.5,60,60.0,0.0,True
TS,main,Aug,288.5,28.7999992371,764,90.0,0.0,False
TS,main,Sep,304.0,22.1999988556,1087,60.0,0.0,False
ET,main,Oct,290.399993896,33.0,623,70.0,0.0,True
TS,main,Nov,280.5,10.5,112,60.0,0.0,False
TS,main,Aug,301.5,39.3999977112,679,90.0,0.0,False
TS,main,Aug,284.5,29.5,498,90.0,0.0,False
TS,main,Sep,299.799987793,18.5,569,60.0,0.0,False
ET,main,Sep,264.299987793,28.5,29,60.0,0.0,True
TS,main,Sep,289.899993896,31.0999984741,715,50.0,0.0,False
TS,main,Jul,284.0,30.7999992371,393,70.0,0.0,False
TS,main,Aug,305.5,14.7999992371,841,70.0,0.0,True
TS,main,Sep,287.5,33.0,408,50.0,0.0,False
TS,main,Aug,281.700012207,30.2999992371,284,50.0,0.0,False
TS,main,Jul,272.700012207,28.0,206,90.0,0.0,True
TS,main,Aug,297.399993896,14.6999998093,447,90.0,0.0,True
TS,split,Sep,291.899993896,33.0,745,70.0,0.0,True
TS,main,Sep,325.0,13.1999998093,1880,80.0,0.0,False
ET,main,Oct,284.200012207,29.5,469,50.0,0.0,True
TS,main,Jul,303.399993896,18.5,949,70.0,0.0,False
TS,main,Aug,288.399993896,30.7999992371,630,70.0,0.0,False
TS,main,Oct,263.5,23.5,132,90.0,0.0,True
TS,main,Sep,286.399993896,30.0999984741,580,70.0,0.0,False
TS,main,Oct,309.5,19.0,1461,40.0,0.0,True
TS,main,Sep,291.0,27.3999996185,802,70.0,0.0,False
TS,main,Oct,279.399993896,17.0,269,90.0,0.0,False
TS,main,Oct,286.700012207,26.0999984741,476,70.0,0.0,False
TS,main,Aug,312.5,40.5,817,90.0,0.0,False
TS,main,Aug,268.399993896,27.0,244,90.0,0.0,True
TS,main,Aug,313.299987793,32.7000007629,1642,70.0,0.0,False
TS,main,Sep,271.600006104,26.1999988556,320,70.0,0.0,True
TS,merge,Sep,285.5,27.0,408,90.0,0.0,True
TS,main,Sep,321.299987793,11.1999998093,1579,70.0,0.0,False
TS,main,Oct,284.5,31.5,355,90.0,0.0,True
TS,main,Aug,300.5,21.6999988556,736,50.0,0.0,False
TS,main,Sep,332.399993896,16.0,1093,50.0,0.0,False
ET,merge,Sep,296.0,24.1999988556,669,70.0,0.0,False
