% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Aug,272.299987793,26.5999984741,301,30.0,0.0,True
ET,main,Jul,130.399993896,21.0,896,0.0,1002.0,True
TS,main,Sep,263.5,22.5,128,50.0,0.0,True
ET,main,Sep,131.300003052,17.6000003815,846,0.0,1006.0,True
ET,main,Apr,126.0,9.0,0,0.0,1004.0,True
TS,main,Dec,169.0,6.5,1901,0.0,1002.0,True
ET,main,Jan,72.1999969482,-12.3000001907,1776,25.0,1000.0,True
ET,main,Aug,141.0,17.7999992371,1778,0.0,1008.0,True
ET,main,Sep,280.0,32.7999992371,0,20.0,1015.0,True
TS,main,Jul,132.199996948,11.8000001907,703,0.0,1004.0,True
TS,main,Feb,136.5,5.7999997139,735,0.0,1006.0,True
TS,main,Jul,153.0,11.5,1607,0.0,1002.0,True
TS,main,Oct,280.899993896,12.0,280,30.0,0.0,True
TS,main,Oct,133.5,6.5,696,0.0,1006.0,True
TS,main,Aug,266.0,21.0,278,35.0,0.0,True
ET,main,Dec,283.799987793,12.8999996185,254,30.0,1005.0,True
ET,main,Aug,153.0,22.0,1914,0.0,1008.0,True
TS,main,Aug,117.699996948,16.8999996185,233,0.0,1006.0,True
TS,main,Aug,347.0,12.8999996185,0,0.0,0.0,True
TS,main,Aug,144.599990845,12.5,1650,0.0,1004.0,True
ET,main,Aug,338.5,10.1999998093,568,25.0,0.0,True
TS,main,Jul,116.399993896,16.1999988556,353,0.0,1000.0,True
TS,main,Oct,277.5,19.8999996185,170,50.0,0.0,True
TS,main,Sep,268.5,26.5,296,30.0,0.0,True
TS,main,Aug,271.600006104,26.8999996185,244,20.0,1012.0,True
ET,main,Sep,294.899993896,18.2999992371,52,30.0,0.0,True
ET,main,Nov,274.100006104,20.1999988556,123,30.0,0.0,True
ET,main,Feb,62.0,-10.5999994278,1158,0.0,1006.0,True
TS,main,Apr,158.099990845,6.0,1243,0.0,1009.0,True
ET,main,Oct,274.5,17.1999988556,145,30.0,0.0,True
TS,main,Sep,253.200012207,17.7999992371,260,25.0,1001.0,True
ET,main,Oct,270.5,25.5,392,40.0,0.0,True
ET,main,Jul,130.5,19.6999988556,873,0.0,1000.0,True
ET,main,Aug,284.5,27.0,327,25.0,1015.0,True
TS,main,Jul,126.899993896,14.0,249,0.0,1006.0,True
ET,main,Aug,342.0,10.8000001907,221,25.0,1007.0,True
ET,main,Oct,276.0,24.0,137,30.0,0.0,True
DS,main,Jul,306.5,11.0999994278,587,25.0,1010.0,True
TS,main,Sep,304.5,16.0,840,90.0,0.0,True
ET,main,Jun,129.5,10.1999998093,378,0.0,1004.0,True
TS,main,Jun,265.700012207,19.3999996185,115,20.0,0.0,True
ET,main,Aug,287.799987793,21.5,89,30.0,1005.0,True
TS,main,Jun,264.299987793,23.1999988556,214,35.0,0.0,True
TS,main,Sep,134.0,17.0,1060,0.0,1002.0,True
TS,main,Aug,150.699996948,15.3999996185,1993,0.0,1004.0,True
TS,main,Nov,140.5,8.5,1160,0.0,1004.0,True
ET,main,Aug,141.899993896,16.1999988556,1823,0.0,1006.0,True
ET,main,Jun,130.5,11.1999998093,513,0.0,1002.0,True
ET,main,Jun,135.300003052,12.6999998093,1051,0.0,1008.0,True
TS,main,Sep,123.0,11.0,0,0.0,1008.0,True
TS,main,Oct,274.899993896,18.1999988556,257,40.0,0.0,True
TS,main,Oct,155.0,5.0,975,0.0,1004.0,True
TS,main,Jun,276.899993896,20.7999992371,73,35.0,0.0,True
ET,main,Sep,119.599998474,23.0,52,0.0,1002.0,True
ET,main,Sep,308.5,18.5,1343,25.0,0.0,True
TS,main,Aug,126.5,10.0,78,0.0,1008.0,True
TS,main,Sep,118.0,19.0,281,0.0,1002.0,True
ET,main,Oct,279.5,14.0,293,25.0,0.0,True
ET,main,Sep,147.599990845,13.5,1747,0.0,1006.0,True
ET,main,Sep,282.299987793,19.1999988556,67,35.0,0.0,True
TS,main,Jun,266.299987793,22.1999988556,372,50.0,0.0,True
TS,main,Aug,307.5,13.0,816,20.0,0.0,True
ET,main,Aug,114.0,18.5,338,0.0,1000.0,True
ET,main,Jul,126.299995422,20.1000003815,460,0.0,1004.0,True
ET,main,Oct,281.200012207,16.1999988556,223,35.0,0.0,True
ET,main,Mar,52.3999977112,-9.80000019073,423,25.0,1004.0,True
ET,main,Aug,153.0,14.0,1885,0.0,1005.0,True
ET,main,Sep,146.5,13.5999994278,1758,0.0,1008.0,True
TS,main,Feb,42.0,-20.1000003815,212,25.0,1005.0,True
ET,main,Sep,153.099990845,9.89999961853,1432,0.0,1008.0,True
