% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE genesis_basin {NA, SA, WP, EP, SP, NI, SI}
@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE time REAL
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
WP,TS,main,53197.25,136.300003052,19.1000003815,1390,0.0,1008.0,True
SI,TS,main,51575.1666667,115.5,-10.5,187,27.0,1000.0,True
NA,TS,main,51769.75,266.5,22.5,365,30.0,1008.0,True
SI,TS,main,45673.25,65.2999954224,-9.89999961853,1402,24.0,1000.0,True
WP,TS,main,55021.75,121.699996948,18.6999988556,35,0.0,1002.0,True
WP,ET,main,35735.0,142.300003052,15.1999998093,1846,0.0,1006.0,True
WP,TS,main,38910.25,109.0,17.7999992371,67,0.0,1002.0,True
WP,ET,main,53618.0,142.300003052,8.19999980927,1188,0.0,1006.0,True
WP,ET,main,51453.5,132.199996948,17.1000003815,905,0.0,1008.0,True
EP,ET,main,45574.0,177.0,12.0,2704,0.0,1008.0,True
WP,TS,main,51847.75,135.099990845,8.30000019073,939,0.0,1004.0,True
WP,TS,main,52835.0,150.399993896,4.7999997139,842,0.0,1008.0,True
WP,ET,main,33823.25,135.0,11.0,984,0.0,1006.0,True
WP,ET,main,42284.0,151.0,17.0,2175,0.0,1008.0,True
WP,TS,main,56135.25,148.800003052,24.6999988556,1422,0.0,1008.0,True
WP,TS,main,56285.0,132.599990845,7.7999997139,661,0.0,1006.0,True
NA,ET,main,52211.75,276.399993896,13.2999992371,0,30.0,1004.0,True
EP,DS,main,38582.0,255.100006104,16.7999992371,224,45.0,0.0,True
WP,TS,main,42980.5,131.099990845,14.6999998093,667,0.0,1004.0,True
WP,TS,main,41169.25,161.199996948,8.39999961853,1661,0.0,1008.0,True
WP,ET,main,48882.75,140.0,14.0999994278,1580,0.0,1004.0,True
WP,ET,main,56156.25,125.899993896,21.3999996185,500,0.0,1008.0,True
EP,DS,main,37459.5,260.0,13.5,347,75.0,0.0,True
EP,TS,main,52913.75,251.899993896,15.6999998093,525,25.0,1007.0,True
NA,TS,main,56539.75,294.100006104,16.1999988556,192,30.0,1010.0,True
WP,TS,main,57019.0,128.699996948,7.39999961853,231,0.0,1006.0,True
WP,ET,main,44435.75,150.0,9.80000019073,1364,0.0,1008.0,True
WP,TS,main,38581.0,150.0,7.0,1059,0.0,1006.0,True
NA,ET,main,54251.0,273.0,18.1000003815,85,25.0,1008.0,True
WP,TS,main,45043.5,148.0,7.69999980927,1100,0.0,1004.0,True
NA,TS,main,52537.75,308.200012207,28.2999992371,1788,25.0,1007.0,True
SI,TS,main,54084.5,71.0,-7.0,1785,15.0,1010.0,True
SI,TS,main,42733.25,74.0,-13.0,1908,0.0,0.0,True
WP,TS,main,41623.0,143.599990845,17.6000003815,1928,0.0,1012.0,True
WP,TS,main,39314.25,127.0,11.0,131,0.0,1006.0,True
WP,TS,main,56686.0,143.099990845,9.5,1356,0.0,1004.0,True
WP,ET,main,40813.0,148.0,17.0,2140,0.0,1006.0,True
EP,TS,main,46701.0,267.0,11.5,325,25.0,0.0,True
EP,TS,main,45230.75,270.0,11.6999998093,202,30.0,0.0,True
NA,ET,main,50360.75,263.799987793,22.6999988556,164,25.0,1003.0,True
EP,ET,main,39394.0,245.0,18.5,715,25.0,0.0,True
WP,TS,main,56134.75,130.5,10.5999994278,496,0.0,1004.0,True
NA,ET,main,53242.0,324.799987793,11.0999994278,1649,25.0,1009.0,True
EP,TS,main,49633.5,246.700012207,17.1999988556,724,25.0,1009.0,True
WP,TS,main,45858.75,112.5,11.0,363,0.0,1004.0,True
WP,ET,main,40110.75,148.300003052,15.6999998093,1996,0.0,1008.0,True
WP,ET,main,46301.25,123.5,24.5,161,0.0,1002.0,True
WP,TS,main,54953.75,111.099998474,9.69999980927,298,0.0,1006.0,True
EP,TS,main,53507.75,264.799987793,9.80000019073,616,30.0,1005.0,True
WP,TS,main,45160.0,144.0,8.0,1168,0.0,1008.0,True
WP,ET,main,49869.0,129.5,10.1999998093,378,0.0,1004.0,True
WP,TS,merge,41503.75,126.0,15.0,211,0.0,1004.0,True
WP,TS,main,36913.75,146.399993896,6.19999980927,930,0.0,1004.0,True
WP,ET,main,41503.5,150.0,9.0,1276,0.0,1008.0,True
WP,TS,main,47713.25,129.5,15.0,534,0.0,1006.0,True
WP,TS,main,41225.0,133.5,6.5,696,0.0,1006.0,True
WP,TS,main,46785.25,169.0,6.5,1901,0.0,1002.0,True
EP,TS,main,56597.25,252.100006104,16.0,485,30.0,1007.0,True
NA,ET,main,44131.0,273.200012207,20.2999992371,53,25.0,1003.0,True
WP,TS,main,49243.25,130.5,14.0,578,0.0,1006.0,True
WP,ET,main,52453.0,154.0,4.69999980927,898,0.0,1006.0,True
EP,ET,main,44866.0,255.5,15.5,330,30.0,0.0,True
WP,ET,main,35436.25,128.599990845,9.5,264,0.0,1002.0,True
WP,ET,main,54600.5,116.899993896,11.8000001907,280,0.0,1002.0,True
NA,TS,main,41565.0,280.600006104,23.7999992371,117,30.0,0.0,True
WP,TS,main,34203.75,125.5,24.0,369,0.0,1002.0,True
WP,ET,main,49195.25,130.399993896,21.0,896,0.0,1002.0,True
WP,ET,main,54733.0,137.899993896,11.8000001907,1312,0.0,1004.0,True
WP,TS,main,50647.25,138.199996948,10.0999994278,1243,0.0,1004.0,True
EP,ET,main,39402.0,257.0,16.0,225,25.0,0.0,True
WP,TS,main,47466.5,131.0,9.0,505,0.0,1004.0,True
NA,ET,main,43429.75,297.100006104,26.8999996185,989,30.0,1010.0,True
WP,TS,main,38288.5,153.300003052,9.69999980927,1414,0.0,1010.0,True
WP,ET,main,44926.75,150.0,13.0,1715,0.0,1008.0,True
WP,TS,main,41867.75,113.0,12.0,386,0.0,1000.0,True
WP,TS,main,48369.25,131.199996948,7.89999961853,507,0.0,1006.0,True
WP,ET,main,55753.5,157.300003052,18.5,2475,0.0,1006.0,True
WP,ET,main,37873.75,135.0,18.3999996185,1232,0.0,996.0,True
WP,TS,main,54284.0,111.699996948,15.3999996185,290,0.0,1002.0,True
NA,TS,main,44854.0,306.0,14.7999992371,887,25.0,1013.0,True
NA,TS,main,53549.75,264.600006104,19.6999988556,92,30.0,1006.0,True
NA,ET,main,47779.5,340.0,13.1999998093,317,25.0,1010.0,True
WP,TS,main,55027.0,128.599990845,14.0999994278,397,0.0,1004.0,True
WP,TS,main,42294.0,118.0,21.3999996185,227,0.0,1004.0,True
WP,ET,main,38219.0,149.099990845,15.0,1924,0.0,1010.0,True
WP,TS,main,34246.5,135.0,10.0,958,0.0,1008.0,True
NA,TS,main,49533.25,276.399993896,21.6999988556,46,25.0,1011.0,True
NA,TS,main,34522.75,278.200012207,14.3999996185,151,25.0,0.0,True
EP,TS,main,48466.25,252.800003052,10.8000001907,929,25.0,1009.0,True
WP,TS,main,40073.0,141.0,15.0,1704,0.0,1008.0,True
WP,TS,main,55004.5,129.0,10.8000001907,350,0.0,1002.0,True
NA,ET,main,42617.0,291.600006104,26.0,712,20.0,1014.0,True
WP,ET,main,51068.0,145.699996948,17.5,2026,0.0,1002.0,True
WP,TS,main,48204.75,114.899993896,12.7999992371,512,0.0,1004.0,True
WP,ET,main,34989.25,152.099990845,19.0,2143,0.0,1004.0,True
SI,TS,main,56671.5,43.3999977112,-15.8999996185,115,20.0,1007.0,True
WP,ET,main,39690.25,147.599990845,19.2999992371,1899,0.0,1004.0,True
NA,TS,main,48114.5,327.899993896,9.0,1577,25.0,1010.0,True
NA,TS,main,42271.5,317.0,10.5,1149,25.0,1010.0,True
SI,TS,main,54185.25,85.2999954224,-11.0,1828,15.0,1006.0,True
WP,ET,main,52155.0,156.300003052,18.6999988556,2416,0.0,1004.0,True
WP,TS,main,44787.25,130.0,12.0,471,0.0,1004.0,True
EP,TS,main,44901.0,261.200012207,10.6999998093,598,30.0,0.0,True
WP,TS,main,56560.75,118.399993896,14.7999992371,174,0.0,1006.0,True
NA,ET,main,51801.5,272.700012207,19.7999992371,20,25.0,1008.0,True
NA,DS,main,52123.5,275.200012207,25.6999988556,277,30.0,1011.0,True
WP,TS,main,35260.75,114.299995422,17.3999996185,426,0.0,1002.0,True
WP,TS,main,38777.75,128.5,9.0999994278,244,0.0,1006.0,True
WP,TS,main,39773.0,150.0,11.0,1495,0.0,1005.0,True
WP,TS,main,37164.25,115.5,21.0,178,0.0,999.0,True
WP,TS,main,36087.75,127.0,18.1000003815,492,0.0,1004.0,True
NA,TS,main,52865.75,276.700012207,26.3999996185,108,35.0,1011.0,True
WP,ET,main,49975.0,116.0,15.0,412,0.0,1002.0,True
NA,ET,main,54734.0,290.0,21.5,200,30.0,1005.0,True
EP,TS,main,48901.5,263.0,11.0,516,25.0,1011.0,True
WP,TS,main,48137.0,142.800003052,17.1999988556,1940,0.0,1004.0,True
WP,TS,main,44178.5,148.300003052,6.19999980927,935,0.0,1006.0,True
EP,TS,main,56909.5,259.899993896,13.5,352,25.0,1007.0,True
WP,ET,main,37875.25,151.0,8.5,1253,0.0,1002.0,True
WP,ET,main,37896.0,149.0,17.0,2146,0.0,1006.0,True
WP,ET,main,44806.25,123.0,25.0,100,0.0,1000.0,True
WP,TS,main,39801.25,160.300003052,9.19999980927,1676,0.0,1003.0,True
WP,ET,main,55415.0,124.199996948,20.6999988556,325,0.0,1002.0,True
WP,TS,main,35803.0,129.199996948,14.1999998093,459,0.0,1004.0,True
EP,TS,main,48870.75,227.0,11.8999996185,2481,25.0,1010.0,True
SI,TS,main,54527.5,65.7999954224,-9.5999994278,1461,20.0,1008.0,True
WP,TS,main,47468.0,140.5,8.5,1160,0.0,1004.0,True
